date,open,high,low,close,volume,name
14-06-2019,1389.2,1389.2,1379.8,1388.9,0.04K,XAUUSD
17-06-2019,1379.7,1384.2,1379.7,1387,0.02K,XAUUSD
18-06-2019,1379.7,1394.5,1379.7,1394.8,0.18K,XAUUSD
19-06-2019,1382.1,1382.1,1382.1,1391.2,0.09K,XAUUSD
20-06-2019,1419.1,1428.7,1417.4,1436,0.41K,XAUUSD
21-06-2019,1444,1444,1419.6,1439,0.02K,XAUUSD
24-06-2019,1439.1,1449.6,1439,1457,0.01K,XAUUSD
25-06-2019,1461.3,1473.9,1448.7,1457.4,0.09K,XAUUSD
26-06-2019,1441.9,1445.4,1440.5,1453.9,0.04K,XAUUSD
27-06-2019,1444.5,1444.5,1444.5,1450.6,0.06K,XAUUSD
28-06-2019,1451,1451,1445.7,1452.9,0.06K,XAUUSD
01-07-2019,1444,1444,1424.4,1429.7,0.01K,XAUUSD
02-07-2019,1428.6,1428.6,1428.6,1448.9,0.07K,XAUUSD
03-07-2019,1465.5,1465.5,1461.9,1462.1,0.00K,XAUUSD
04-07-2019,1421.25,1426.65,1412.85,1423.55,-,XAUUSD
05-07-2019,1428,1433,1428,1442.7,0.02K,XAUUSD
08-07-2019,1436.9,1436.9,1436.9,1443.4,0.05K,XAUUSD
09-07-2019,1430.6,1430.8,1430.6,1444.4,0.02K,XAUUSD
10-07-2019,1450.5,1450.5,1450.5,1456.6,0.07K,XAUUSD
11-07-2019,1461.4,1467.2,1461.4,1451.4,0.01K,XAUUSD
12-07-2019,1450.9,1450.9,1450.9,1457,0.05K,XAUUSD
15-07-2019,1452.3,1452.3,1452.3,1458.4,0.99K,XAUUSD
16-07-2019,1453.4,1453.4,1453.4,1456.6,0.02K,XAUUSD
17-07-2019,1455,1467.3,1455,1469.3,0.02K,XAUUSD
18-07-2019,1464.4,1488.5,1459.4,1474,0.02K,XAUUSD
19-07-2019,1483.3,1487.4,1461.5,1472.3,0.02K,XAUUSD
22-07-2019,1466,1466,1466,1472.8,0.61K,XAUUSD
23-07-2019,1458.6,1459.6,1458.6,1467.6,0.25K,XAUUSD
24-07-2019,1467.2,1467.2,1467.2,1469.7,0.04K,XAUUSD
25-07-2019,1465.1,1468,1456.1,1461.2,0.81K,XAUUSD
26-07-2019,1460.4,1460.4,1460.4,1467.2,0.56K,XAUUSD
29-07-2019,1461.7,1461.7,1461.7,1468.5,1.05K,XAUUSD
30-07-2019,1469,1472.4,1469,1477.3,0.02K,XAUUSD
31-07-2019,1460.5,1469.6,1452.9,1473.3,0.13K,XAUUSD
01-08-2019,1450.8,1485.6,1443.3,1468.5,0.15K,XAUUSD
02-08-2019,1476.2,1476.2,1476.2,1492.3,0.08K,XAUUSD
05-08-2019,1487.4,1505,1487.4,1509.6,0.07K,XAUUSD
06-08-2019,1507.2,1511.1,1498.6,1516.7,0.14K,XAUUSD
07-08-2019,1510.6,1547.7,1510.6,1551.6,0.11K,XAUUSD
08-08-2019,1533,1542.1,1532.6,1542,0.06K,XAUUSD
09-08-2019,1542.8,1543.8,1535,1541.5,0.09K,XAUUSD
12-08-2019,1536,1550.1,1526.4,1550,0.16K,XAUUSD
13-08-2019,1556.2,1571.7,1523.1,1547.7,0.07K,XAUUSD
14-08-2019,1538.5,1553.1,1532.6,1561,0.24K,XAUUSD
15-08-2019,1553,1561.2,1546,1563.7,0.29K,XAUUSD
16-08-2019,1557.4,1557.7,1541.3,1556.2,0.16K,XAUUSD
19-08-2019,1543.9,1543.9,1531,1544,0.35K,XAUUSD
20-08-2019,1530.2,1540.7,1530.2,1548,0.17K,XAUUSD
21-08-2019,1532.7,1540.6,1532.7,1548.2,0.56K,XAUUSD
22-08-2019,1534.3,1538.8,1530.5,1541.1,0.25K,XAUUSD
23-08-2019,1539,1563.5,1537.3,1570.2,0.26K,XAUUSD
26-08-2019,1584.5,1584.5,1563.2,1569.8,0.07K,XAUUSD
27-08-2019,1566.2,1579.3,1564.6,1584.5,0.17K,XAUUSD
28-08-2019,1572.3,1578,1571.6,1581.2,0.24K,XAUUSD
29-08-2019,1571.9,1578.8,1562,1569.9,0.25K,XAUUSD
30-08-2019,1564.1,1566.9,1555,1563.1,0.45K,XAUUSD
01-09-2019,1535.25,1542.9,1535.25,1538.05,-,XAUUSD
02-09-2019,1537.95,1540.05,1528.15,1535.15,-,XAUUSD
